year, mo, region, N_extent,   N_area,region,S_extent,S_area,Total_extent,Total_area
1980,1,      N,14.86,11.94,S,4.56,3.08,19.42,15.02
1991,4,      N,14.86,12.87,S,7.05,5.18,21.91,18.05
2001,4,      N,14.86,13.05,S,7.04,5.3,21.9,18.35
1986,1,      N,14.89,11.88,S,5.42,3.43,20.31,15.31
1994,4,      N,14.89,12.91,S,7.22,5.45,22.11,18.36
1998,4,      N,14.89,12.85,S,6.85,5.12,21.74,17.97
1993,1,      N,14.9,12.93,S,4.41,2.55,19.31,15.48
1981,1,      N,14.91,11.91,S,4.41,2.84,19.32,14.75
2004,2,      N,14.91,12.94,S,3.58,2.36,18.49,15.3
1983,1,      N,14.94,12.01,S,4.77,3.21,19.71,15.22
1989,1,      N,14.95,13.18,S,4.74,3.17,19.69,16.35
2008,2,      N,14.95,13.21,S,3.89,2.4,18.84,15.61
1987,1,      N,14.97,11.9,S,5.13,3.31,20.1,15.21
2009,3,      N,14.98,13.43,S,4.44,3.02,19.42,16.45
2004,3,      N,14.99,12.99,S,4.53,3.16,19.52,16.15
1981,4,      N,15.01,12.24,S,5.84,4.07,20.85,16.31
1984,4,      N,15.01,12.18,S,6.42,4.53,21.43,16.71
2013,3,      N,15.03,13.45,S,5.02,3.49,20.05,16.94
1986,4,      N,15.06,12.04,S,6.39,4.56,21.45,16.6
1993,4,      N,15.08,13.03,S,6.65,4.9,21.73,17.93
1999,4,      N,15.08,13.15,S,6.89,5.13,21.97,18.28
1988,4,      N,15.12,13.18,S,6.29,4.44,21.41,17.62
1996,3,      N,15.12,12.9,S,4.18,2.65,19.3,15.55
2000,2,      N,15.14,13.09,S,2.91,1.72,18.05,14.81
2010,3,      N,15.14,13.53,S,3.85,2.66,18.99,16.19
1996,2,      N,15.15,12.98,S,2.98,1.77,18.13,14.75
1983,4,      N,15.17,12.21,S,6.47,4.7,21.64,16.91
1982,1,      N,15.18,12.19,S,5.26,3.25,20.44,15.44
2008,3,      N,15.18,13.53,S,5.28,3.68,20.46,17.21
2003,2,      N,15.19,13.23,S,3.79,2.66,18.98,15.89
2012,3,      N,15.2,13.41,S,4.55,2.91,19.75,16.32
1987,4,      N,15.21,12.35,S,6.8,5.04,22.01,17.39
2001,2,      N,15.21,13.22,S,3.65,2.44,18.86,15.66
2000,3,      N,15.22,13.17,S,4.09,2.67,19.31,15.84
1995,2,      N,15.23,13.37,S,3.56,2.19,18.79,15.56
1991,2,      N,15.25,13.22,S,3.16,2.09,18.41,15.31
1995,3,      N,15.26,13.34,S,4.63,3.01,19.89,16.35
1984,2,      N,15.3,12.26,S,2.68,1.75,17.98,14.01
1999,2,      N,15.31,13.45,S,2.97,1.77,18.28,15.22
2002,2,      N,15.34,13.42,S,2.96,1.82,18.3,15.24
2002,3,      N,15.35,13.42,S,3.75,2.36,19.1,15.78
1985,4,      N,15.36,12.54,S,6.49,4.74,21.85,17.28
1999,3,      N,15.4,13.54,S,3.98,2.58,19.38,16.12
1979,1,      N,15.41,12.41,S,5.4,3.47,20.81,15.88
1989,3,      N,15.42,13.21,S,3.93,2.59,19.35,15.8
1991,3,      N,15.42,13.42,S,3.81,2.65,19.23,16.07
1980,4,      N,15.43,12.52,S,5.4,3.68,20.83,16.2
1997,2,      N,15.44,13.44,S,2.49,1.72,17.93,15.16
1979,4,      N,15.45,12.53,S,7.49,5.45,22.94,17.98
1992,2,      N,15.46,13.58,S,2.84,1.86,18.3,15.44
1982,4,      N,15.47,12.63,S,7.72,5.79,23.19,18.42
1985,2,      N,15.47,12.48,S,2.84,1.83,18.31,14.31
1997,3,      N,15.47,13.3,S,3.46,2.3,18.93,15.6
1992,3,      N,15.48,13.48,S,3.57,2.47,19.05,15.95
2003,3,      N,15.48,13.42,S,4.44,3.24,19.92,16.66
1989,2,      N,15.5,13.36,S,2.98,2.03,18.48,15.39
2001,3,      N,15.52,13.64,S,4.73,3.36,20.25,17
1994,3,      N,15.55,13.55,S,4.55,3.2,20.1,16.75
1994,2,      N,15.56,13.52,S,3.2,2.22,18.76,15.74
1984,3,      N,15.58,12.55,S,3.61,2.34,19.19,14.89
1988,2,      N,15.58,13.57,S,2.89,1.9,18.47,15.47
1990,2,      N,15.58,13.42,S,3.04,2.21,18.62,15.63
1981,2,      N,15.6,12.53,S,2.87,1.74,18.47,14.27
1998,3,      N,15.6,13.57,S,4.11,2.71,19.71,16.28
1981,3,      N,15.63,12.71,S,3.39,2.16,19.02,14.87
1993,2,      N,15.69,13.61,S,2.48,1.37,18.17,14.98
1998,2,      N,15.75,13.77,S,2.99,1.87,18.74,15.64
1986,2,      N,15.78,12.62,S,3.19,2,18.97,14.62
1993,3,      N,15.81,13.77,S,3.67,2.24,19.48,16.01
1987,3,      N,15.82,12.83,S,4.11,2.75,19.93,15.58
1990,3,      N,15.87,13.51,S,3.97,2.79,19.84,16.3
1985,3,      N,15.89,12.75,S,3.72,2.54,19.61,15.29
1986,3,      N,15.91,12.72,S,3.7,2.38,19.61,15.1
1980,2,      N,15.96,12.9,S,2.82,1.85,18.78,14.75
1988,3,      N,15.96,13.9,S,3.97,2.59,19.93,16.49
1982,2,      N,15.97,12.87,S,3.13,1.86,19.1,14.73
1983,2,      N,16.01,12.94,S,3.07,1.91,19.08,14.85
1980,3,      N,16.04,12.99,S,3.29,2.11,19.33,15.1
1982,3,      N,16.04,13.07,S,4.29,2.84,20.33,15.91
1987,2,      N,16.05,13.02,S,3.25,2,19.3,15.02
1983,3,      N,16.09,12.93,S,4.02,2.62,20.11,15.55
1979,2,      N,16.18,13.18,S,3.14,2.11,19.32,15.29
1979,3,      N,16.34,13.21,S,4,2.66,20.34,15.87
